EPSPs recorded with voltage sensitive dye JPW1114 from the CA1 field of rat hippocampal slice,,,,,,,,,,,,,,,,,,,,,,
,,LM input,,,,,,,,,,,OR input,,,,,,,,,
,time,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7",,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7"

55,13.75,-0.004031872,-0.00959626,0.008653601,-0.001529626,0.00280968,-0.003986934,-0.004820183,-0.009239512,0.005837938,0.004559443,,-0.000252541,-0.004071035,-0.004747314,-0.0046318,0.001834029,0.002288339,-0.004861303,0.002693251,0.005248366,-0.001979319
56,14,-0.003113341,-0.004711378,0.007928132,-0.005622939,0.00592308,-0.00553167,0.002056309,-0.005020361,-0.003913523,7.67417E-05,,-0.003532492,0.001100306,-0.003950145,-0.003171023,0.004161322,-0.002033488,0.003303777,-0.009613588,-0.00702609,0.003285933
57,14.25,-0.000311618,-0.002363951,-0.003948113,-0.003287441,-0.000918626,-0.003062752,0.006273802,-0.005271462,0.004893614,-0.004196818,,0.010971846,-0.00425806,0.001066731,-0.008697319,0.004723278,0.007281077,-0.001030793,0.000510988,0.004921113,-0.006401638
58,14.5,8.47975E-05,0.001141612,0.005698058,0.000151184,-0.001145404,-0.008691218,0.00737101,-0.004321173,0.000824101,-0.006092763,,0.010566511,0.00785119,0.00373685,-0.004522618,-0.000504223,0.011747135,0.003612444,-0.000557504,-0.003902154,-0.007055345
59,14.75,0.009386426,0.002258023,0.00241777,-0.000884904,0.001678562,-0.001150051,0.003742381,-0.001994942,0.011129361,-0.00132856,,-0.000847273,0.005067294,-0.002416135,0.001552782,0.004846139,-0.001420183,0.006608396,-0.005012767,0.002408103,-0.002168654
60,15,-0.001829182,-0.000743273,0.002022674,0.011813675,-0.002544051,-0.000940561,0.004251524,-0.006572883,0.003109614,9.80064E-05,,0.0001709,0.00407279,-0.003709433,0.006272778,0.000369573,0.002416912,0.007157122,0.004323741,-0.002488176,-3.11475E-05
61,15.25,-0.005580812,0.006930377,-0.00731168,-0.00104321,-0.003094671,-0.00908502,-0.00161969,-0.005940328,0.006432603,0.006018248,,0.009045059,-0.002044745,-0.009449835,0.004515918,-0.007539699,0.001441127,0.008539773,0.002284073,-0.001825042,-0.013761438
62,15.5,-0.015324804,-0.00065873,-0.006963085,0.000690932,-0.009322747,-0.004767865,0.007542267,-0.005280849,0.00751467,0.003195305,,-0.000229156,-0.001447947,-0.001546419,-0.003469414,-0.002372887,-0.000763605,0.004418213,-0.010474364,0.005033047,-0.00521741
63,15.75,-0.008926442,-0.007952141,-0.007807383,0.006231768,0.000142826,-0.000955297,0.006865603,-0.003947043,0.002423309,0.00147935,,0.011944743,-0.001443629,0.002603136,0.004354219,0.004872846,-0.006947799,0.002302367,-0.008383474,0.003640621,-0.006712872
64,16,-0.002574031,-0.007143403,-0.013304863,0.000701307,-0.004013942,0.001757682,-0.001576619,-0.000171369,0.003526025,0.002505593,,0.003660015,-0.007312839,-0.00329574,-0.003174181,-0.000401512,0.002911716,-0.003059434,0.000663805,-0.001688,-0.000319259
65,16.25,-0.007977232,3.29732E-05,0.001068925,-0.003851429,-0.001606221,-0.003213622,0.001450395,0.004195983,0.000292029,-0.006115239,,-0.007019948,-0.010305262,0.002234016,-0.001023372,0.002660354,0.000866579,-0.006157893,0.005940175,0.004222604,-0.002247924
