Time (ms),Light,Current (pA)
2240,0,-6.6852
2242,0,-6.90782
2244,0,-6.83322
2246,0,-7.2039
2248,0,-7.19972
2250,0,-6.5016
2252,0,-6.41871
2254,0,-6.24129
2256,0,-6.01664
2258,0,-6.25492
2260,0,-6.45742
2262,0,-6.34584
2264,0,-6.03276
2266,0,-6.28034
2268,0,-6.02503
2270,0,-5.73482
2272,0,-5.50898
2274,0,-5.58598
2276,0,-5.58678
2278,0,-5.79992
2280,0,-5.72111
2282,0,-6.09433
2284,0,-6.18705
2286,0,-6.20465
2288,0,-6.05367
2290,0,-5.71356
2292,0,-5.39007
2294,0,-5.61085
2296,0,-5.30737
2298,0,-5.30049
2300,0,-5.52977
2302,0,-5.28856
2304,0,-4.87971
2306,0,-5.28916
2308,0,-5.32025
2310,0,-4.97498
2312,0,-4.64396
2314,0,-4.49603
2316,0,-4.20027
2318,0,-4.21972
2320,0,-4.16248
2322,0,-4.35392
2324,0,-4.18221
2326,0,-4.29156
2328,0,-4.66145
2330,0,-4.66301
2332,0,-4.42695
2334,0,-4.51883
2336,0,-4.45247
2338,0,-4.43671
2340,0,-4.47879
2342,0,-4.4051
2344,0,-5.15514
2346,0,-5.10315
2348,0,-4.70623
2350,0,-4.33149
2352,0,-4.32851
2354,0,-4.3783
2356,0,-4.44271
2358,0,-4.16932
2360,0,-4.31894
2362,0,-4.57024
2364,0,-4.675
2366,0,-4.71524
2368,0,-4.80817
2370,0,-4.49334
2372,0,-4.13501
2374,0,-4.4201
2376,0,-4.60831
2378,0,-4.75333
2380,0,-4.68
2382,0,-4.92587
2384,0,-4.97501
2386,0,-4.95135
2388,0,-4.88674
2390,0,-5.19944
2392,0,-4.94166
2394,0,-4.9524
2396,0,-4.75048
2398,0,-4.95674
2400,0,-5.071
2402,0,-5.323
2404,0,-5.12633
2406,0,-4.86493
2408,0,-4.68051
2410,0,-4.46838
2412,0,-4.35147
2414,0,-4.38011
2416,0,-4.18544
2418,0,-4.46697
2420,0,-4.4202
2422,0,-4.31231
2424,0,-3.88433
2426,0,-4.11603
2428,0,-4.14151
2430,0,-3.9002
2432,0,-3.64766
2434,0,-3.60866
2436,0,-4.24137
2438,0,-4.23511
2440,0,-4.57731
2442,0,-4.89829
2444,0,-4.85504
2446,0,-4.91184
2448,0,-4.73494
2450,0,-4.64921
2452,0,-4.36079
2454,0,-4.12256
2456,0,-4.28719
2458,0,-4.39973
2460,0,-4.27212
2462,0,-4.4371
2464,0,-4.79466
2466,0,-4.7235
2468,0,-4.82591
2470,0,-4.52323
2472,0,-4.39005
2474,0,-3.94904
2476,0,-4.12222
2478,0,-4.40429
2480,0,-4.54649
2482,0,-4.6835
2484,0,-4.95942
2486,0,-4.90534
2488,0,-4.85365
2490,0,-4.92497
2492,0,-4.44963
2494,0,-4.59564
2496,0,-4.51572
2498,0,-4.77904
2500,0,-5.06518
2502,0,-5.13648
2504,0,-4.97611
2506,0,-4.88654
2508,0,-5.05048
2510,0,-4.76095
2512,0,-4.58783
2514,0,-4.85617
2516,0,-4.84843
2518,0,-4.78937
2520,0,-4.8182
2522,0,-4.7976
2524,0,-4.649
2526,0,-4.48578
2528,0,-4.56817
2530,0,-4.46956
2532,0,-3.7684
2534,0,-3.80853
2536,0,-3.52054
2538,0,-3.9036
2540,0,-4.20439
2542,0,-4.48389
2544,0,-4.7771
2546,0,-4.70242
2548,0,-4.61109
2550,0,-4.27317
2552,0,-4.00434
2554,0,-4.22018
2556,0,-4.58458
2558,0,-4.50671
2560,0,-4.71059
2562,0,-4.7536
2564,0,-4.91894
2566,0,-5.08249
2568,0,-4.95782
2570,0,-4.6283
2572,0,-4.21317
2574,0,-3.81198
2576,0,-3.89793
2578,0,-4.04398
2580,0,-4.49123
2582,0,-4.81841
2584,0,-4.61176
2586,0,-4.51618
2588,0,-4.30672
2590,0,-4.18332
2592,0,-4.02799
2594,0,-3.66762
2596,0,-3.65748
